Material,"Density
","Melting Point
","Boiling Point
",Material,"Electric Resistivity
",Material,"Thermal Expansion Coefficient
","Thermal Conductivity
",Material,"Tensile Strength
","Elongation
",Material,Specific Heat (J/kgoC),Material,Boiling Points at Atmospheric Pressure,Material,Radiation Constant ,Material,"Thermal Conductivity 
- k - W/",Material,Crushing Weight ,Shearing Strength ,"Strength
",Material,Ksp,Material,Density,Material
Dysprosium,,1409,,,,,,,,,,Iridium,134,Isopropyl Alchol,80.3,,,Concrete,1.0 - 1.8,,,,,Lead fluoride,3.3*10-8,Chlorinated polyether,1.4,
Einsteinium,,,,,,,,,,,,Iron,449,Isobutane,-11.72,,,Concrete,1.7,,,,,Lead hydroxide,1.43*10-20,"Cement, set",2.7 - 3,
Erbium,,1522,,,,,,,,,,Lead,129,Isobutene,-6.9,,,Constantan,23.3,,,,,Lead iodate,3.69*10-13,"Cement, Portland",1.5,
Europium,,822,,,,,,,,,,Leather,1500,Isooctane,99.2,,,Copper,401,,,,,Lead iodide,9.8*10-9,Cerium,6.77,
Fermium,,,,,,,,,,,,Limestone,909,Isopentane,27.8,,,Corian ,1.06,,,,,Lead oxalate,8.5*10-9,Chalk,1.9 - 2.8,
Fluorine,,-219.62,,,,,,,,,,Lithium,3582,Isoprene,34.1,,,Cork board,0.043,,,,,Lead selenate,1.37*10-7,"Charcoal, oak",0.6,
Francium,,27,,,,,,,,,,Lucite,1460,Isopropylbenzene,152,,,Cork,0.044,,,,,Lead sulfate,2.53*10-8,"Charcoal, pine",0.3 - 0.4,
Gadolinium,,1311,,,,,,,,,,Magnesia ,874,Jet fuel,163,,,Cork,0.07,,,,,Lithium carbonate,8.15*10-4,Chromium,7.1,
Gallium,,29.78,,,,,,,,,,Magnesium,1050,Kerosene ,150 - 300,,,Cotton,0.04,,,,,Lithium fluoride,1.84*10-3,Chrom oxide,5.21,
Germanium,,937.4,,,,,,,,,,Magnesium alloy,1010,Linseed Oil,287,,,Cotton wool,0.029,,,,,Lithium phosphate,2.37*10-11,Cinnabar,8.1,
Gold,,1064.434,,,,,,,,,,Manganese,460,Mercury,356.9,,,Carbon Steel,54,,,,,Magnesium ammonium phosphate,3*10-13,Clay,1.8 - 2.6,
Hafnium,,2227,,,,,,,,,,Marble,880,Methane,-161.5,,,Cotton Wool insulation,0.029,,,,,Magnesium carbonate,6.82*10-6,"Coal, anthracite",1.4 - 1.8,
Helium,,-272.2,,,,,,,,,,Mercury,140,Methanol ,66,,,Diamond,1000,,,,,Magnesium carbonate pentahydrate,3.79*10-6,"Coal, bituminous",1.2 - 1.5,
Holmium,,1470,,,,,,,,,,Mica,880,Methyl Acetate,57.2,,,Diatomaceous earth ,0.06,,,,,Magnesium carbonate trihydrate,2.38*10-6,Cobalt,8.8,
Hydrogen,,-259.14,,,,,,,,,,Molybdenum,272,Methyl Bromide,3.3,,,Diatomite,0.12,,,,,Magnesium fluoride,5.16*10-11,"Cocoa, butter",0.9,
Indium,,156.61,,,,,,,,,,Neon,1030,Metyl Chloride,-23.9,,,Duralium,129,,,,,Magnesium hydroxide,5.61*10-12,Coke,1 - 1.7,
Iodine,,113.5,,,,,,,,,,Nickel,461,Methylene Chloride,39.8,,,Earth,1.5,,,,,Magnesium oxalate dihydrate,4.83*10-6,"Concrete, lightweight",0.45 - 1.0,
Iridium,,2410,,,,,,,,,,Nitrogen,1040,Methyl Ether ,-25,,,Ebonite,0.17,,,,,Magnesium phosphate,1.04*10-24,"Concrete, medium",1.3 - 1.7,
Iron,,1535,,,,,,,,,,Nylon-6,1600,Methylcyclohexane,101,,,Emery,11.6,,,,,Manganese carbonate,2.24*10-11,"Concrete, dense",2.0 - 2.4,
Krypton,,-156.6,,,,,,,,,,Nylon-66,1700,Methylcyclopentane,71.8,,,Engine Oil,0.15,,,,,Manganese iodate,4.37*10-7,Constantan,8.89,
Lanthanum,,920,,,,,,,,,,Olive oil,1790,Methyl iodide,42.6,,,Ethane ,0.018,,,,,Manganese oxalate dihydrate,1.70*10-7,Copal,1 - 1.15,
Lawrencium,,,,,,,,,,,,Osmium,130,2 - Methylhexane,90.1,,,Ether,0.14,,,,,Mercury bromide,6.40*10-23,Copper,8.79,
Lead,,327.502,,,,,,,,,,Oxygen,918,3 - Methylhexane,91.8,,,Ethylene ,0.017,,,,,Mercury bromide,6.2*10-20,Cork,0.2 - 0.25,
Lithium,,180.54,,,,,,,,,,Palladium,240,2 - Methylpentane,60.3,,,Epoxy,0.35,,,,,Mercury carbonate,3.6*10-17,"Cork, linoleum",0.55,
